poem,reply
01KR03,01KR04
01KR08,01KR09
02HH01,02HH02
02HH03,02HH04
02HH05,02HH06
02HH08,02HH09
02HH10,02HH11
02HH13,02HH14
03UT01,03UT02
04YG01,04YG02
04YG03,04YG04
04YG05,04YG06
04YG07,04YG08
04YG09,04YG10
04YG12,04YG13
04YG14,04YG15
04YG17,04YG18
05WM01,05WM02
05WM03,05WM04
05WM05,05WM06
05WM10,05WM11
05WM14,05WM15
05WM16,05WM17
05WM20,05WM21
05WM22,05WM23
05WM24,05WM25
06ST01,06ST02
06ST03,06ST04
06ST06,06ST07
07MM01,07MM02
07MM03,07MM04
07MM05,07MM06
07MM07,07MM08
07MM09,07MM10
07MM11,07MM12
07MM13,07MM14
07MM15,07MM16
08HE03,08HE04
08HE07,08HE08
09AO02,09AO03
09AO04,09AO05
09AO07,09AO08
09AO12,09AO13
09AO14,09AO15
09AO16,09AO17
09AO18,09AO19
09AO23,09AO24
10SK01,10SK02
10SK03,10SK04
10SK05,10SK06
10SK08,10SK09
10SK14,10SK15
10SK16,10SK17
10SK18,10SK19
10SK20,10SK21
10SK22,10SK23
10SK24,10SK25
10SK26,10SK27
10SK28,10SK29
10SK30,10SK31
10SK32,10SK33
11HC01,11HC02
11HC03,11HC04
12SM03,12SM04
12SM05,12SM06
12SM07,12SM08
12SM09,12SM10
12SM16,12SM17
12SM26,12SM27
12SM37,12SM38
12SM43,12SM44
12SM45,12SM46
13AK05,13AK06
13AK09,13AK10
13AK12,13AK13
13AK14,13AK15
13AK16,13AK17
13AK18,13AK19
13AK20,13AK21
13AK22,13AK23
13AK24,13AK25
13AK26,13AK27
14MT01,14MT02
14MT05,14MT06
14MT07,14MT08
14MT09,14MT10
14MT11,14MT12
14MT13,14MT14
14MT16,14MT17
15YM01,15YM02
15YM05,15YM06
16SY02,16SY03
17EA01,17EA02
17EA03,17EA04
17EA08,17EA09
18MK04,18MK05
18MK06,18MK07
18MK08,18MK09
18MK10,18MK11
18MK12,18MK13
19UG01,19UG02
19UG03,19UG04
19UG05,19UG06
19UG09,19UG10
20AG01,20AG02
20AG03,20AG04
20AG06,20AG07
20AG08,20AG09
20AG10,20AG11
21OT01,21OT02
21OT04,21OT05
21OT08,21OT09
21OT15,21OT16
22TM01,22TM02
22TM03,22TM04
22TM05,22TM06
22TM08,22TM09
22TM10,22TM11
22TM13,22TM14
23HT01,23HT02
23HT03,23HT04
24KC05,24KC06
24KC07,24KC08
24KC10,24KC11
24KC12,24KC13
25HR01,25HR02
25HR03,25HR04
25HR05,25HR06
25HR07,25HR08
26TK01,26TK02
26TK03,26TK04
27KG01,27KG02
28NW02,28NW03
29MY01,29MY02
29MY03,29MY04
29MY06,29MY07
29MY08,29MY09
30FJ01,30FJ02
30FJ03,30FJ04
30FJ07,30FJ08
31MA01,31MA02
31MA04,31MA05
31MA08,31MA09
31MA11,31MA12
31MA13,31MA14
31MA15,31MA16
31MA18,31MA19
31MA20,31MA21
32UM01,32UM02
32UM08,32UM09
32UM10,32UM11
33FU01,33FU02
33FU06,33FU07
33FU09,33FU10
33FU11,33FU12
34WJ01,34WJ02
34WJ03,34WJ04
34WJ05,34WJ06
34WJ07,34WJ08
34WJ09,34WJ10
34WJ11,34WJ12
34WJ13,34WJ14
34WJ21,34WJ22
34WJ23,34WJ24
35WG02,35WG03
35WG08,35WG09
35WG13,35WG14
35WG15,35WG16
35WG17,35WG18
36KW01,36KW02
36KW05,36KW06
36KW10,36KW11
37YB01,37YB02
37YB04,37YB05
37YB06,37YB07
38SZ01,38SZ02
38SZ03,38SZ04
38SZ05,38SZ06
39YR01,39YR02
39YR03,39YR04
39YR05,39YR06
39YR11,39YR12
39YR13,39YR14
39YR23,39YR24
39YR25,39YR26
40MN01,40MN02
40MN03,40MN04
40MN09,40MN10
40MN11,40MN12
41MB01,41MB02
41MB06,41MB07
41MB08,41MB09
41MB10,41MB11
41MB17,41MB18
41MB24,41MB25
43KB03,43KB04
44TA01,44TA02
44TA14,44TA15
44TA19,44TA20
44TA21,44TA22
44TA23,44TA24
45HS05,45HS06
45HS08,45HS09
45HS10,45HS11
46SI03,46SI04
46SI05,46SI06
46SI07,46SI08
46SI10,46SI11
46SI13,46SI14
46SI18,46SI19
47AM01,47AM02
47AM03,47AM04
47AM05,47AM06
47AM07,47AM08
47AM09,47AM10
47AM12,47AM13
47AM14,47AM15
47AM22,47AM23
47AM24,47AM25
47AM30,47AM31
48SW01,48SW02
48SW03,48SW04
48SW06,48SW07
48SW08,48SW09
48SW10,48SW11
49YD01,49YD02
49YD04,49YD05
49YD10,49YD11
49YD13,49YD14
49YD18,49YD19
50AM01,50AM02
50AM03,50AM04
50AM05,50AM06
50AM10,50AM11
51UF02,51UF03
51UF04,51UF05
51UF06,51UF07
51UF08,51UF09
51UF10,51UF11
52KA01,52KA02
52KA04,52KA05
52KA07,52KA08
52KA09,52KA10
53TN07,53TN08
53TN14,53TN15
53TN18,53TN19
53TN20,53TN21
53TN24,53TN25
01KR02,01KR05
06ST10,06ST13
12SM20,12SM22
12SM21,12SM23
12SM25,12SM28
13AK01,13AK03
13AK28,14MT04
39YR08,39YR17
44TA16,44TA18
46SI15,46SI21
51UF12,51UF16
51UF13,51UF15
51UF17,51UF20
